frame_id,person_count
0,2
1,2
2,3
3,3
4,6
5,6
6,5
7,6
8,6
9,7
10,7
11,8
12,6
13,7
14,7
15,8
16,8
17,8
18,7
19,8
20,5
21,6
22,6
23,6
24,5
25,5
26,5
27,5
28,5
29,4
30,5
31,6
32,5
33,7
34,9
35,9
36,8
37,8
38,8
39,8
40,9
41,12
42,9
43,11
44,10
45,9
46,11
47,11
48,8
49,8
50,8
51,10
52,10
53,10
54,11
55,9
56,11
57,9
58,11
59,9
60,9
61,10
62,10
63,9
64,10
65,10
66,13
67,11
68,12
69,12
70,13
71,13
72,12
73,13
74,12
75,11
76,10
77,11
78,12
79,9
80,13
81,11
82,11
83,12
84,6
85,8
86,10
87,11
88,13
89,12
90,9
91,10
92,10
93,12
94,13
95,11
96,11
97,13
98,11
99,12
100,15
101,13
102,15
103,12
104,13
105,14
106,16
107,15
108,8
109,9
110,11
111,10
112,10
113,10
114,10
115,13
116,12
117,10
118,13
119,12
120,6
121,9
122,10
123,15
124,14
125,15
126,11
127,11
128,12
129,12
130,14
131,14
132,13
133,14
134,14
135,13
136,11
137,13
138,15
139,12
140,11
141,12
142,15
143,13
144,11
145,11
146,11
147,11
148,10
149,12
150,11
151,10
152,11
153,13
154,11
155,11
156,11
157,9
158,10
159,9
160,13
161,10
162,11
163,13
164,9
165,10
166,11
167,10
168,12
169,11
170,8
171,8
172,8
173,8
174,9
175,9
176,10
177,11
178,12
179,14
180,9
181,11
182,11
183,12
184,11
185,11
186,11
187,10
188,12
189,12
190,12
191,11
192,10
193,10
194,11
195,10
196,10
197,11
198,11
199,12
200,11
201,12
202,12
203,9
204,8
205,8
206,9
207,9
208,10
209,10
210,10
211,8
212,11
213,10
214,10
215,10
216,9
217,9
218,10
219,8
220,9
221,10
222,12
223,15
224,13
225,13
226,14
227,14
228,11
229,12
230,14
231,13
232,14
233,13
234,13
235,11
236,13
237,12
238,12
239,12
240,10
241,9
242,9
243,11
244,12
245,12
246,13
247,11
248,16
249,13
250,16
251,17
252,13
253,15
254,16
255,13
256,15
257,13
258,12
259,13
260,12
261,11
262,10
263,10
264,11
265,16
266,16
267,14
268,11
269,10
270,10
271,13
272,13
273,9
274,11
275,12
276,12
277,16
278,14
279,10
280,14
281,13
282,14
283,15
284,19
285,14
286,14
287,14
288,16
289,15
290,11
291,14
292,11
293,13
294,14
295,16
296,15
297,11
298,15
299,11
